BHK,Bathroom,Parking,Area,Per_Sqft,Furnishing,Status,Transaction,Type,Locality,Price
4,5,1,8000,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar,240000000
2,2,1,1000,20000,Furnished,Ready_to_move,Resale,Apartment,Lajpat Nagar 3,20000000
3,3,2,1700,20000,Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,19000000
3,3,2,1600,20000,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,26000000
3,3,1,1350,15556,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,21000000
3,3,1,1700,16176,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,27500000
3,3,2,1400,16176,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,32500000
3,3,1,1450,16176,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 3,45000000
3,3,1,1350,15556,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,21000000
3,3,1,1700,15556,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,28000000
3,3,2,1600,15556,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 3,29500000
1,,,1500,,Unfurnished,Ready_to_move,Resale,Apartment,Lajpat Nagar 2,13500000
2,2,1,800,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,14000000
3,3,4,1710,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
2,2,4,1350,9259,Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,12500000
3,3,2,1500,9259,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
2,2,2,750,9259,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Vinoba Puri, Lajpat Nagar",11500000
2,2,2,850,9259,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,14600000
3,3,1,1575,9259,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,25500000
3,3,2,1675,18507,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,31000000
3,3,2,1350,18507,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,22000000
2,2,2,900,18507,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,13400000
3,3,2,1800,18507,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,Lajpat Nagar 2,35000000
2,2,2,900,18507,Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,11000000
2,2,2,900,7000,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Vinoba Puri, Lajpat Nagar",6300000
2,2,2,900,7000,Furnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,12500000
2,2,1,800,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,14500000
2,3,1,1100,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,22500000
2,2,1,810,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,15500000
3,3,1,1500,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
2,2,1,900,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,15800000
2,2,1,825,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,15000000
2,2,1,900,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,13000000
2,2,1,875,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,15000000
3,3,1,1350,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,25000000
2,2,1,750,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,16500000
2,2,1,900,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,10300000
3,3,1,1350,7000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,26000000
2,2,1,900,7000,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,11000000
3,3,1,1800,7000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Lajpat Nagar 2,28500000
2,2,1,900,7000,Unfurnished,Ready_to_move,Resale,Builder_Floor,Lajpat Nagar 2,11000000
2,1,1,900,,Furnished,Ready_to_move,Resale,Apartment,Budh Vihar,11000000
3,2,1,810,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,4500000
2,1,1,450,72000,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",3600000
3,2,1,100,43000,Furnished,Ready_to_move,New_Property,Builder_Floor,Budh Vihar Phase 1,4300000
3,2,1,900,4444,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Budh Vihar,4000000
2,2,1,500,3300,Semi-Furnished,Ready_to_move,Resale,Apartment,Budh Vihar Phase 1,1650000
